Id,Compiled,Elements Compiled,Name,Entity,ObjectType,Material Descriptor,Layer Number,Layer Thickness [m],Length [m],Largest Surface Area [m^2],Volume [m^3]
aebc0975e3,True,2,Abdeckblech gerundet-neu:Abdeckblech gerundet-neu,IfcBuildingElementProxy,Abdeckblech gerundet-neu:Abdeckblech gerundet-neu,<Unnamed>,0,,33.18,309.2376,0.07
1fde2b1291,True,8,Basic Wall:3-Schichtplatte 27mm - Schalplatte,IfcWallStandardCase,Basic Wall:3-Schichtplatte 27mm - Schalplatte,3-Schicht-Platte,0,0.027,37.3238,13.2503,0.3576
6d9cf675f7,True,2,Basic Wall:3-Schichtplatte 27mm B/C,IfcWallStandardCase,Basic Wall:3-Schichtplatte 27mm B/C,3-Schicht-Platte,0,0.027,1.7031,3.7039,0.0999
16380cc63d,True,2,Basic Wall:3-Schichtplatte 27mm C+/C,IfcWallStandardCase,Basic Wall:3-Schichtplatte 27mm C+/C,3-Schicht-Platte,0,0.027,7.7979,2.8073,0.0757
30abe42a62,True,2,Basic Wall:3-Schichtplatte 40mm,IfcWallStandardCase,Basic Wall:3-Schichtplatte 40mm,3-Schicht-Platte,0,0.04,0.9,2.2834,0.0913
ce0cc1e825_L1,True,6,Basic Wall:Blechverkleidung gedämmt (L1),IfcWallStandardCase,Basic Wall:Blechverkleidung gedämmt,"Stahl, 45-34, Pulverbeschichtung schwarz",1,0.003,0.6939,1.2595,0.0037
ce0cc1e825_L2,True,6,Basic Wall:Blechverkleidung gedämmt (L2),IfcWallStandardCase,Basic Wall:Blechverkleidung gedämmt,Wärmedämmung Slentex Aerogel,2,0.046,0.6939,1.2595,0.0571
ce0cc1e825_L3,True,6,Basic Wall:Blechverkleidung gedämmt (L3),IfcWallStandardCase,Basic Wall:Blechverkleidung gedämmt,"Stahl, 45-34, Pulverbeschichtung schwarz",3,0.003,0.6939,1.2595,0.0037
cb2d94d550,True,3,Basic Wall:Brandschutzplatte 28mm,IfcWallStandardCase,Basic Wall:Brandschutzplatte 28mm,Gipsfaserplatte,0,0.028,4.9986,9.3225,0.2607
65d0e0c8a6,True,10,Basic Wall:BSP 140 - 5s,IfcWall,Basic Wall:BSP 140 - 5s,Brettschichtholz C24,0,0.14,54.34,120.8568,13.9934
ff0022f92c,True,16,Basic Wall:BSP 140 - 5s (2),IfcWallStandardCase,Basic Wall:BSP 140 - 5s,Brettschichtholz C24,0,0.14,24.1715,49.5285,6.9166
325c6f48a0,True,9,Basic Wall:BSP 140 Sichtseite einseitig,IfcWall,Basic Wall:BSP 140 Sichtseite einseitig,Brettsperrholz,0,0.14,27.24,61.2555,7.3126
a5c867b4fd,True,2,Basic Wall:BSP 140 Sichtseite einseitig (2),IfcWallStandardCase,Basic Wall:BSP 140 Sichtseite einseitig,Brettsperrholz,0,0.14,2.37,7.5063,0.9909
369c58d53c,True,2,Basic Wall:Fensterlaibung 24mm,IfcWallStandardCase,Basic Wall:Fensterlaibung 24mm,"Massivholz Fichte, schwarz lasiert",0,0.024,0.44,0.9312,0.0224
6125c4d99e,True,2,Basic Wall:Fensterlaibung 40mm,IfcWallStandardCase,Basic Wall:Fensterlaibung 40mm,"Massivholz Fichte, schwarz lasiert",0,0.04,0.392,0.8664,0.0346
031893e96a,True,5,Basic Wall:Gipsfaserplatte Vidiwall 15mm,IfcWallStandardCase,Basic Wall:Gipsfaserplatte Vidiwall 15mm,Gipsfaserplatte,0,0.015,9.0553,16.2994,0.2444
f17ad5cce9_L1,True,18,Basic Wall:Holzbau_Archisonic_Vorbauschale (L1),IfcWallStandardCase,Basic Wall:Holzbau_Archisonic_Vorbauschale,Archisonic Charcoal,1,0.012,10.7162,25.8666,0.31
f17ad5cce9_L2,True,18,Basic Wall:Holzbau_Archisonic_Vorbauschale (L2),IfcWallStandardCase,Basic Wall:Holzbau_Archisonic_Vorbauschale,MDF,2,0.012,10.7162,25.8666,0.31
78593db8a4_L1,True,3,Basic Wall:Holzfassade hinterlüftet (L1),IfcWall,Basic Wall:Holzfassade hinterlüftet,"Holzschalung Vertikal, Nadelholz,  schwarz gestrichen",1,0.02,30.32,73.646,1.0979
78593db8a4_L2,True,3,Basic Wall:Holzfassade hinterlüftet (L2),IfcWall,Basic Wall:Holzfassade hinterlüftet,Luft,2,0.03,30.32,73.646,1.6468
78593db8a4_L3,True,3,Basic Wall:Holzfassade hinterlüftet (L3),IfcWall,Basic Wall:Holzfassade hinterlüftet,Luft,3,0.04,30.32,73.646,2.1957
ff0919332f,True,5,Basic Wall:Holzfassade_Hinterlüftet_Laibung,IfcWallStandardCase,Basic Wall:Holzfassade_Hinterlüftet_Laibung,"Holzschalung Vertikal, Nadelholz,  schwarz gestrichen",0,0.02,5.1492,16.3305,0.3234
5376ff48b3,True,4,Basic Wall:Holzfassade_Hinterlüftet_Laibung (2),IfcWall,Basic Wall:Holzfassade_Hinterlüftet_Laibung,"Holzschalung Vertikal, Nadelholz,  schwarz gestrichen",0,0.02,23.516,0.0476,0.242
dfff60526d,True,3,Basic Wall:Holzfassade_Hinterlüftet_OhneUK,IfcWallStandardCase,Basic Wall:Holzfassade_Hinterlüftet_OhneUK,"Holzschalung Vertikal, Nadelholz,  schwarz gestrichen",0,0.021,2.9335,6.1872,0.1295
7b9763d32a_L1,True,30,Basic Wall:Innenwandelement Archisonic abnehmbar (L1),IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic abnehmbar,Archisonic Charcoal,1,0.012,16.7907,33.5067,0.4016
7b9763d32a_L2,True,30,Basic Wall:Innenwandelement Archisonic abnehmbar (L2),IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic abnehmbar,MDF,2,0.012,16.7907,33.5067,0.4016
3ece908374_L1,True,7,Basic Wall:Innenwandelement Archisonic abnehmbar mit Einschnitten (L1),IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic abnehmbar mit Einschnitten,Archisonic Charcoal,1,0.012,4.6225,8.9557,0.1064
3ece908374_L2,True,7,Basic Wall:Innenwandelement Archisonic abnehmbar mit Einschnitten (L2),IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic abnehmbar mit Einschnitten,MDF,2,0.012,4.6225,8.9557,0.1064
75d64ea952_L1,True,7,Basic Wall:Innenwandelement Archisonic fix (L1),IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic fix,Archisonic Charcoal,1,0.012,3.7362,7.6364,0.0788
75d64ea952_L2,True,7,Basic Wall:Innenwandelement Archisonic fix (L2),IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic fix,MDF,2,0.012,3.7362,7.6364,0.0788
6621a241af_L1,True,10,Basic Wall:Innenwandelement Archisonic fix ohne Einschnitte (L1),IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic fix ohne Einschnitte,Archisonic Charcoal,1,0.012,5.5027,10.4326,0.125
6621a241af_L2,True,10,Basic Wall:Innenwandelement Archisonic fix ohne Einschnitte (L2),IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic fix ohne Einschnitte,MDF,2,0.012,5.5027,10.4326,0.125
f3de7c9098,True,18,Basic Wall:Innenwandelement Archisonic ohne MDF,IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic ohne MDF,Archisonic Charcoal,0,0.012,17.6819,11.7994,0.1417
d372e74286,True,11,Basic Wall:KVH Balken 120mm,IfcWallStandardCase,Basic Wall:KVH Balken 120mm,Brettschichtholz C24,0,0.12,43.933,9.3071,1.1024
6f5992e3c2,True,4,Basic Wall:Massivholz 24mm,IfcWallStandardCase,Basic Wall:Massivholz 24mm,Massivholz Fichte,0,0.024,0.3678,0.9548,0.0231
795c75da48,True,5,Basic Wall:Purenit Fusspunkt,IfcWall,Basic Wall:Purenit Fusspunkt,Purenit,0,0.025,27.69,7.5912,0.1765
6bc3c88965,True,4,Basic Wall:Purenit Fusspunkt (2),IfcWallStandardCase,Basic Wall:Purenit Fusspunkt,Purenit,0,0.025,2.6511,0.9442,0.0235
c7d2a47639,True,5,Basic Wall:PV Fassade Terasse,IfcWallStandardCase,Basic Wall:PV Fassade Terasse,Körpermodell,0,0.008,6.1,18.3854,0.1471
23b6fd65cb_L1,True,4,Basic Wall:Wärmedämmung_200 (L1),IfcWallStandardCase,Basic Wall:Wärmedämmung_200,"Wärmedämmung Mineralwolle, 0.035 W/mK",1,0.1,12.5475,19.415,1.925
23b6fd65cb_L2,True,4,Basic Wall:Wärmedämmung_200 (L2),IfcWallStandardCase,Basic Wall:Wärmedämmung_200,"Wärmedämmung Mineralwolle, 0.035 W/mK",2,0.1,12.5475,19.415,1.925
0087876720_L1,True,6,Basic Wall:Wärmedämmung_200 (2) (L1),IfcWall,Basic Wall:Wärmedämmung_200,"Wärmedämmung Mineralwolle, 0.035 W/mK",1,0.1,29.77,85.4521,6.6759
0087876720_L2,True,6,Basic Wall:Wärmedämmung_200 (2) (L2),IfcWall,Basic Wall:Wärmedämmung_200,"Wärmedämmung Mineralwolle, 0.035 W/mK",2,0.1,29.77,85.4521,6.6759
f9691ec733,True,3,Basic Wall:Wärmedämmung_Mineralwolle_130,IfcWall,Basic Wall:Wärmedämmung_Mineralwolle_130,"Wärmedämmung Mineralwolle, 0.035 W/mK",0,0.13,10.8,4.996,0.6223
f072382038,True,2,Basic Wall:Wärmedämmung_Mineralwolle_130 (2),IfcWallStandardCase,Basic Wall:Wärmedämmung_Mineralwolle_130,"Wärmedämmung Mineralwolle, 0.035 W/mK",0,0.13,8.325,2.6788,0.3483
524838fce2,True,2,Basic Wall:Wärmedämmung_Mineralwolle_20,IfcWallStandardCase,Basic Wall:Wärmedämmung_Mineralwolle_20,"Wärmedämmung Mineralwolle, 0.035 W/mK",0,0.02,1.9515,5.4133,0.1081
c923413f81,True,2,Basic Wall:Wärmedämmung_Mineralwolle_90,IfcWallStandardCase,Basic Wall:Wärmedämmung_Mineralwolle_90,"Wärmedämmung Mineralwolle, 0.035 W/mK",0,0.09,20.986,10.228,0.92
c28b42ec07,True,73,BSH Stütze - rechteckig:KVH 60 x 60,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,Holz Brettschicht - C24 Cl.1,0,,153.27,9.1962,0.5536
19942f0dfa,True,3,BSH Träger - rechteckig:Holz 140 x 240,IfcBeam,BSH Träger - rechteckig:Holz 140 x 240,Brettschichtholz C24,0,,15.357,3.6192,0.5053
32bb5170ae,True,2,Einlauf Contec Tube:DN75,IfcBuildingElementProxy,Einlauf Contec Tube:DN75,3D-Schnittmaterial,0,,0.54,0.1296,0.0006
448caec44f,True,7,"Fenster Forster Unico:Kippfenster mit Kettenantrieb, Sage Glas",IfcWindow,"Fenster Forster Unico:Kippfenster mit Kettenantrieb, Sage Glas",Unknown,0,,8.89,6.1341,0.363
81201c5ae7,True,4,"Fenster Forster Unico:Kippfenster mit Kettenantrieb, Sage Glas (2)",IfcWindow,"Fenster Forster Unico:Kippfenster mit Kettenantrieb, Sage Glas",<Unnamed>,0,,0.0,0.0,0.0
734607c530,True,5,Floor:3-Schichplatte 19mm,IfcSlab,Floor:3-Schichplatte 19mm,3-Schicht-Platte,0,0.019,13.18,8.3574,0.1512
d648f1c1c4,True,2,Floor:3-Schichtplatte 27mm B/C Rinnen,IfcSlab,Floor:3-Schichtplatte 27mm B/C Rinnen,3-Schicht-Platte,0,0.027,5.21,1.9345,0.0521
38ad939f44,True,2,Floor:3-Schichtplatte 27mm B/C Rinnen (2),IfcSlab,Floor:3-Schichtplatte 27mm B/C Rinnen,3-Schicht-Platte,0,,10.56,5.742,0.1493
bea71849e1,True,3,Floor:Betonauflager,IfcSlab,Floor:Betonauflager,Beton,0,0.29,4.56,4.0436,1.1225
09f7047f0a_L1,True,2,Floor:Dachaufbau Brüstung Dämmung (L1),IfcSlab,Floor:Dachaufbau Brüstung Dämmung,"Wärmedämmung Mineralwolle, 0.035 W/mK",1,0.1,23.15,18.5772,1.7711
09f7047f0a_L2,True,2,Floor:Dachaufbau Brüstung Dämmung (L2),IfcSlab,Floor:Dachaufbau Brüstung Dämmung,"Wärmedämmung Mineralwolle, 0.035 W/mK",2,0.1,23.15,18.5772,1.7711
c3b0cb3f28,True,3,Floor:Dachaufbau Brüstung Galerie,IfcSlab,Floor:Dachaufbau Brüstung Galerie,Unknown,0,,23.45,16.0204,1.2768
d20d68a4b7_L1,True,3,Floor:Dämmung Galerie (L1),IfcSlab,Floor:Dämmung Galerie,"Wärmedämmung Mineralwolle, 0.035 W/mK",1,0.1,10.5,7.2514,0.6289
d20d68a4b7_L2,True,3,Floor:Dämmung Galerie (L2),IfcSlab,Floor:Dämmung Galerie,"Wärmedämmung Mineralwolle, 0.035 W/mK",2,0.1,10.5,7.2514,0.6289
7f5669cfcb,True,3,Floor:Fensterbank 40mm,IfcSlab,Floor:Fensterbank 40mm,"Holzschalung Horizontal, Nadelholz,  schwarz gestrichen",0,0.04,11.0,2.775,0.0986
50141ec7a2_L1,True,2,Floor:Funicular Floor (L1),IfcSlab,Floor:Funicular Floor,Spachtelmasse Boden,1,0.01,10.43,51.2144,0.4214
50141ec7a2_L2,True,2,Floor:Funicular Floor (L2),IfcSlab,Floor:Funicular Floor,"Beton, Ortbeton",2,0.35000000000000003,10.43,51.2144,14.7491
d43d337978,True,2,Floor:OSB 22mm,IfcSlab,Floor:OSB 22mm,OSB,0,0.022,11.01,57.1101,1.0376
763e457390,True,2,Floor:OSB 25mm,IfcSlab,Floor:OSB 25mm,OSB,0,0.025,10.77,55.7034,1.1662
01982f91ae,True,2,Floor:Perimeterdämmung,IfcSlab,Floor:Perimeterdämmung,Wärmedämmung XPS,0,0.08,6.93,6.93,0.555
0a91634d5e,True,10,Holz Träger - rechteckig:Alu Eurotec 40 x 60,IfcBeam,Holz Träger - rechteckig:Alu Eurotec 40 x 60,Aluminum - Flat - Version 1.1,0,,45.703,2.7258,0.1088
4d32a54e8e,True,2,Holz Träger - rechteckig:Holz 60 x 200,IfcBeam,Holz Träger - rechteckig:Holz 60 x 200,Holz - C 24 Cl.1,0,,4.358,0.9592,0.0575
33340139eb,True,15,Pfosten rechteckig:Forster 60 x 130 - Nur Pfosten,IfcMember,Pfosten rechteckig:Forster 60 x 130 - Nur Pfosten,"Stahl, 45-34, Pulverbeschichtung schwarz",0,,5.5848,0.728,0.0435
741d9c7f22,True,115,Pfosten rechteckig:Forster 60 x 130,IfcMember,Pfosten rechteckig:Forster 60 x 130,"Stahl, 45-34, Pulverbeschichtung schwarz",0,,70.538,15.3604,0.7284
883fcab506,True,14,Pfosten rechteckig:Forster 60 x 90 - Nur Pfosten,IfcMember,Pfosten rechteckig:Forster 60 x 90 - Nur Pfosten,"Stahl, 45-34, Pulverbeschichtung schwarz",0,,7.1134,0.6399,0.039
cc9b440faa,True,62,Pfosten rechteckig:Forster 60 x 90,IfcMember,Pfosten rechteckig:Forster 60 x 90,"Stahl, 45-34, Pulverbeschichtung schwarz",0,,66.5142,11.169,0.5121
75762e6adc,True,85,Pfosten rechteckig:ForsterUnico,IfcMember,Pfosten rechteckig:ForsterUnico,"Stahl, 45-34, Pulverbeschichtung schwarz",0,,52.9938,4.2576,0.1922
c658e6abba,True,2,Rohranschluss_Technikschnttelle_Nest:HEI - Rücklauf,IfcBuildingElementProxy,Rohranschluss_Technikschnttelle_Nest:HEI - Rücklauf,3D-Schnittmaterial,0,,0.38,0.0152,0.0006
029ca384e1,True,2,Rohranschluss_Technikschnttelle_Nest:HEI - Vorlauf,IfcBuildingElementProxy,Rohranschluss_Technikschnttelle_Nest:HEI - Vorlauf,3D-Schnittmaterial,0,,0.32,0.0128,0.0005
e610cae9a2,True,7,Systemelement:Contraflam EI30,IfcPlate,Systemelement:Contraflam EI30,Glas EI30,0,,9.89,10.1643,0.4554
e3b11c95ba,True,29,Systemelement:Dämmelement,IfcPlate,Systemelement:Dämmelement,Wärmedämmung druckfest,0,,36.11,16.6486,0.3329
5e3171c413,True,12,Systemelement:SageGlass VSG,IfcPlate,Systemelement:SageGlass VSG,Glas SageGlassClimatop,0,,22.4,29.991,1.5586
2fc8bbc0c1,True,26,Systemelement:SageGlass VSG Sonderform,IfcPlate,Systemelement:SageGlass VSG Sonderform,Glas SageGlassClimatop,0,,40.03,43.7504,1.7642
f235024de1,True,2,TU DF 1 - Pfostenstock Falztüre:DL - 900 x 2130,IfcDoor,TU DF 1 - Pfostenstock Falztüre:DL - 900 x 2130,Unknown,0,,4.7,4.982,0.2155
